"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.5.2.36","10.5.3.255","UDP","86","57621  >  57621 Len=44"
"2","0.000000","10.5.2.36","10.5.3.255","UDP","86","57621  >  57621 Len=44"
"3","0.000000","10.5.3.249","255.255.255.255","MNDP","208","5678  >  5678 Len=166"
"4","0.342426","52.146.136.33","10.5.1.26","TLSv1.2","158","Application Data"
"5","0.397290","10.5.1.26","52.146.136.33","TCP","54","36534  >  443 [ACK] Seq=1 Ack=105 Win=252 Len=0"
"6","0.507688","10.5.0.1","255.255.255.255","MNDP","152","5678  >  5678 Len=110"
"8","0.979566","10.5.1.26","104.18.41.41","TCP","1454","21898  >  443 [ACK] Seq=1 Ack=1 Win=4090 Len=1400 [TCP PDU reassembled in 12]"
"9","0.979566","10.5.1.26","104.18.41.41","TCP","1454","21898  >  443 [ACK] Seq=1401 Ack=1 Win=4090 Len=1400 [TCP PDU reassembled in 12]"
"10","0.979566","10.5.1.26","104.18.41.41","TCP","1454","21898  >  443 [ACK] Seq=2801 Ack=1 Win=4090 Len=1400 [TCP PDU reassembled in 12]"
"11","0.979566","10.5.1.26","104.18.41.41","TCP","1454","21898  >  443 [ACK] Seq=4201 Ack=1 Win=4090 Len=1400 [TCP PDU reassembled in 12]"
"12","0.979566","10.5.1.26","104.18.41.41","TLSv1.2","1366","Application Data"
"13","0.980141","10.5.1.26","104.18.41.41","TLSv1.2","416","Application Data"
"14","0.988536","10.5.1.26","52.146.136.33","TLSv1.2","85","Application Data"
"15","0.994516","104.18.41.41","10.5.1.26","TCP","54","443  >  21898 [ACK] Seq=1 Ack=1401 Win=464 Len=0"
"16","0.994516","104.18.41.41","10.5.1.26","TCP","54","443  >  21898 [ACK] Seq=1 Ack=2801 Win=465 Len=0"
"17","0.994516","104.18.41.41","10.5.1.26","TCP","54","443  >  21898 [ACK] Seq=1 Ack=4201 Win=465 Len=0"
"18","0.994516","104.18.41.41","10.5.1.26","TCP","54","443  >  21898 [ACK] Seq=1 Ack=6913 Win=466 Len=0"
"19","0.994516","104.18.41.41","10.5.1.26","TCP","54","443  >  21898 [ACK] Seq=1 Ack=7275 Win=466 Len=0"
"20","1.060044","52.146.136.33","10.5.1.26","TCP","54","443  >  36534 [ACK] Seq=105 Ack=32 Win=4256 Len=0"
"21","1.166802","104.18.41.41","10.5.1.26","TCP","1506","443  >  21898 [ACK] Seq=1 Ack=7275 Win=466 Len=1452 [TCP PDU reassembled in 22]"
"22","1.171321","104.18.41.41","10.5.1.26","TLSv1.2","1320","Application Data"
"23","1.171321","104.18.41.41","10.5.1.26","TLSv1.2","105","Application Data"
"24","1.171321","104.18.41.41","10.5.1.26","TLSv1.2","85","Application Data"
"25","1.171417","10.5.1.26","104.18.41.41","TCP","54","21898  >  443 [ACK] Seq=7275 Ack=2801 Win=4095 Len=0"
"26","1.514369","10.5.1.26","185.199.108.215","TCP","55","1262  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1"
"27","1.545845","10.5.1.26","185.199.109.133","TCP","55","44269  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1"
"28","1.545899","10.5.1.26","185.199.108.215","TCP","55","54371  >  443 [ACK] Seq=1 Ack=1 Win=506 Len=1"
