No.,Time,Source,Destination,Protocol,Length,Info,Label,Dst_Port,Service_Name,Risk_Level,Risk_Score,Is_High_Risk,Time_Diff,Bytes_Per_Sec
118,8.273443,0.0.0.0,255.255.255.255,DHCP,342,DHCP Request  - Transaction ID 0x50cadbfc,0,67,Dinamik/Gecici Port,Orta,40.0,0,0.0,3420000.0
1209,23.245723,0.0.0.0,255.255.255.255,DHCP,370,DHCP Request  - Transaction ID 0x1f249cbc,1,67,Dinamik/Gecici Port,Orta,40.0,0,14.972280000000001,24.712170009043316
1094,37.353015,0.0.0.0,255.255.255.255,DHCP,364,DHCP Request  - Transaction ID 0xb6130521,0,67,Dinamik/Gecici Port,Orta,40.0,0,14.107291999999998,25.802075961311637
1144,41.044641,0.0.0.0,255.255.255.255,DHCP,332,DHCP Discover - Transaction ID 0x1c6a46cd,0,67,Dinamik/Gecici Port,Orta,40.0,0,3.6916259999999994,89.93083452022172
1146,41.044641,0.0.0.0,255.255.255.255,DHCP,342,DHCP Request  - Transaction ID 0x1c6a46cd,0,67,Dinamik/Gecici Port,Orta,40.0,0,0.0,3420000.0
1999,49.234741,0.0.0.0,255.255.255.255,DHCP,354,DHCP Request  - Transaction ID 0xb02a1c0,0,67,Dinamik/Gecici Port,Orta,40.0,0,8.190100000000001,43.22238773167932
2343,70.145442,0.0.0.0,255.255.255.255,DHCP,342,DHCP Request  - Transaction ID 0x545d9c10,1,67,Dinamik/Gecici Port,Orta,40.0,0,20.910701000000003,16.355184098399672
4908,73.191202,0.0.0.0,255.255.255.255,DHCP,344,DHCP Request  - Transaction ID 0xfba656d7,0,67,Dinamik/Gecici Port,Orta,40.0,0,3.0457600000000014,112.94018766456759
2728,79.566044,0.0.0.0,255.255.255.255,DHCP,352,DHCP Request  - Transaction ID 0x913657f9,1,67,Dinamik/Gecici Port,Orta,40.0,0,6.374842000000001,55.21618863355933
22665,123.781631,0.0.0.0,255.255.255.255,DHCP,342,DHCP Discover - Transaction ID 0x93c0c285,0,67,Dinamik/Gecici Port,Orta,40.0,0,44.215587,7.734811403020832
